label,itemid,shopid,name,price,userid,anonymous,commentTime,is_hidden,orderid,comment_rating_star,comment,product_SKU
1,8149633152,198172756,櫛瓜1斤100元 安全無毒櫛瓜 未檢出 黃色綠色隨機出（櫛瓜如果沒有會換水果彩椒同等價格）,100,10109356,TRUE,2022/02/05,FALSE,9.65E+13,3,不予置評了，給了兩次機會，都是不同問題，直接在市場買還比較新鮮?????,['']
2,8149633152,198172756,櫛瓜1斤100元 安全無毒櫛瓜 未檢出 黃色綠色隨機出（櫛瓜如果沒有會換水果彩椒同等價格）,100,75074407,TRUE,2022/07/07,FALSE,1.09E+14,5,地瓜的品質都非常非常非常棒！ 不回購真的對不起自己！！ 而且都非常新鮮，收到的時候雖然有些泥土但是完全沒有發芽！ 烤來吃質地也非常非常好吃柔軟、各種不同的地瓜都各有不同的滋味??超棒！,['']
3,8149633152,198172756,櫛瓜1斤100元 安全無毒櫛瓜 未檢出 黃色綠色隨機出（櫛瓜如果沒有會換水果彩椒同等價格）,100,31992979,TRUE,2022/09/30,FALSE,1.18E+14,5,此項產品缺貨，已更換別的東西，出貨很快，店家服務很好，cp質高，謝謝，謝謝！,['']
4,8149633152,198172756,櫛瓜1斤100元 安全無毒櫛瓜 未檢出 黃色綠色隨機出（櫛瓜如果沒有會換水果彩椒同等價格）,100,18642272,TRUE,2021/07/16,FALSE,7.98E+13,5,商品包裝保護良好.商品與網頁團文介紹一樣喔.賣家很貼心會主動告知出貨時間.出貨時間很準時.是值得推薦的優質好賣家喔!非常高興與您交易喔!萬分感激您^^,['']
5,8149633152,198172756,櫛瓜1斤100元 安全無毒櫛瓜 未檢出 黃色綠色隨機出（櫛瓜如果沒有會換水果彩椒同等價格）,100,184621060,TRUE,2021/06/10,FALSE,7.67E+13,5,疫情期間各大網路蔬菜箱和家樂福網購蔬菜都要等10天到兩個禮拜以上，無意間在蝦皮訂小農的蔬果，下單後兩天就送到家，超迅速！！而且品質很好～～可以以超值的價錢又不用出門就可以快速的收到食材真的很棒！很推薦！,['']
6,8149633152,198172756,櫛瓜1斤100元 安全無毒櫛瓜 未檢出 黃色綠色隨機出（櫛瓜如果沒有會換水果彩椒同等價格）,100,2882720,TRUE,2021/07/29,FALSE,8.00E+13,5,出貨速度很快，下標隔天就出貨了，櫛瓜新鮮很大條，玉米筍很嫩，地瓜種類多，但玉米有點老，沒農藥有蟲，煮之前要先看一下,['']
7,8149633152,198172756,櫛瓜1斤100元 安全無毒櫛瓜 未檢出 黃色綠色隨機出（櫛瓜如果沒有會換水果彩椒同等價格）,100,13365306,TRUE,2021/08/02,FALSE,8.11E+13,5,送貨非常快，下單過差不多兩天，直接開到我台北家樓下，蔬菜的品質也很不錯，節瓜很划算，家樂福兩條就要一百多^_^,['']
8,8149633152,198172756,櫛瓜1斤100元 安全無毒櫛瓜 未檢出 黃色綠色隨機出（櫛瓜如果沒有會換水果彩椒同等價格）,100,69369845,TRUE,2021/07/01,FALSE,7.87E+13,5,產地直送真新鮮！昨天訂今天到！真棒的店家！食材鮮甜好健康！店家在線有問必答，服務貼心！會再回購！推！??,['']
9,8149633152,198172756,櫛瓜1斤100元 安全無毒櫛瓜 未檢出 黃色綠色隨機出（櫛瓜如果沒有會換水果彩椒同等價格）,100,58697747,TRUE,2022/05/20,FALSE,1.07E+14,5,出貨超快速包裝的非常好！品質價錢合理優！好賣家推一推！下次有需要還會再次購買嘍！,['']
10,8149633152,198172756,櫛瓜1斤100元 安全無毒櫛瓜 未檢出 黃色綠色隨機出（櫛瓜如果沒有會換水果彩椒同等價格）,100,22764865,TRUE,2022/03/01,FALSE,9.83E+13,5,很可惜的，這個品項缺貨，所以溝通後改成玉米??，下次有機會再訂購。,['']
11,8149633152,198172756,櫛瓜1斤100元 安全無毒櫛瓜 未檢出 黃色綠色隨機出（櫛瓜如果沒有會換水果彩椒同等價格）,100,3122296,TRUE,2021/11/13,FALSE,9.01E+13,5,很快就收到貨物了，謝謝，很用心的賣家，不用出門也可以吃新鮮營養的時蔬，祝賣家生意興隆。,['']
12,8149633152,198172756,櫛瓜1斤100元 安全無毒櫛瓜 未檢出 黃色綠色隨機出（櫛瓜如果沒有會換水果彩椒同等價格）,100,1746349,TRUE,2021/09/18,FALSE,8.53E+13,5,出貨速度超快！隔天馬上寄出～商品超新鮮！而且沒有受傷～非常喜歡，謝謝老闆！,['']
13,8149633152,198172756,櫛瓜1斤100元 安全無毒櫛瓜 未檢出 黃色綠色隨機出（櫛瓜如果沒有會換水果彩椒同等價格）,100,137821731,TRUE,2021/11/04,FALSE,8.89E+13,5,看著都很新鮮可口，而且是冷藏寄來的，很喜歡！,['']
14,8149633152,198172756,櫛瓜1斤100元 安全無毒櫛瓜 未檢出 黃色綠色隨機出（櫛瓜如果沒有會換水果彩椒同等價格）,100,145321129,TRUE,2021/06/16,FALSE,7.72E+13,5,買了三斤有7條櫛瓜，品質還不錯喔！晚餐可以做個櫛瓜煎餅來吃?賣家寄貨迅速，東西也很快就收到了！,['']
15,8149633152,198172756,櫛瓜1斤100元 安全無毒櫛瓜 未檢出 黃色綠色隨機出（櫛瓜如果沒有會換水果彩椒同等價格）,100,94956951,TRUE,2021/06/16,FALSE,7.70E+13,5,出貨很快，櫛瓜很大、地瓜飽滿，玉米筍超多非常划算，其他菜也很新鮮??晚上來煮??,['']
16,8149633152,198172756,櫛瓜1斤100元 安全無毒櫛瓜 未檢出 黃色綠色隨機出（櫛瓜如果沒有會換水果彩椒同等價格）,100,3041157,TRUE,2021/07/03,FALSE,7.76E+13,5,"價格經濟實惠，東西還不錯，防疫期間出貨速度還OK,下次會再回購",['']
17,8149633152,198172756,櫛瓜1斤100元 安全無毒櫛瓜 未檢出 黃色綠色隨機出（櫛瓜如果沒有會換水果彩椒同等價格）,100,12997592,TRUE,2021/06/16,FALSE,7.69E+13,5,櫛瓜本人新鮮可口！地瓜還沒吃！價格非常實惠！下次想吃會再回購！推薦大家！,['']
18,8149633152,198172756,櫛瓜1斤100元 安全無毒櫛瓜 未檢出 黃色綠色隨機出（櫛瓜如果沒有會換水果彩椒同等價格）,100,1956700,TRUE,2021/07/16,FALSE,7.99E+13,5,出貨速度很快，蔬果也很新鮮。回應速度也很快！是個誠信的賣家！很推薦大家購買喔！,['']
19,8149633152,198172756,櫛瓜1斤100元 安全無毒櫛瓜 未檢出 黃色綠色隨機出（櫛瓜如果沒有會換水果彩椒同等價格）,100,89173751,TRUE,2021/07/03,FALSE,7.87E+13,5,出貨速度很快^n雖然送來的時候斷了一根櫛瓜^n但是店家說下次會補償^n大推????????????^n重點櫛瓜超好吃,['']
20,8149633152,198172756,櫛瓜1斤100元 安全無毒櫛瓜 未檢出 黃色綠色隨機出（櫛瓜如果沒有會換水果彩椒同等價格）,100,416004645,TRUE,2021/07/27,FALSE,8.08E+13,5,"品質很好,很優,價格也可以,值得購買,下次一定會再回購,且會推薦好友們",['']
