label,name
1,櫛瓜1斤100元 安全無毒櫛瓜 未檢出 黃色綠色隨機出（櫛瓜如果沒有會換水果彩椒同等價格）
2,櫛瓜1斤100元 安全無毒櫛瓜 未檢出 黃色綠色隨機出（櫛瓜如果沒有會換水果彩椒同等價格）
3,櫛瓜1斤100元 安全無毒櫛瓜 未檢出 黃色綠色隨機出（櫛瓜如果沒有會換水果彩椒同等價格）
4,櫛瓜1斤100元 安全無毒櫛瓜 未檢出 黃色綠色隨機出（櫛瓜如果沒有會換水果彩椒同等價格）
5,櫛瓜1斤100元 安全無毒櫛瓜 未檢出 黃色綠色隨機出（櫛瓜如果沒有會換水果彩椒同等價格）
6,櫛瓜1斤100元 安全無毒櫛瓜 未檢出 黃色綠色隨機出（櫛瓜如果沒有會換水果彩椒同等價格）
7,櫛瓜1斤100元 安全無毒櫛瓜 未檢出 黃色綠色隨機出（櫛瓜如果沒有會換水果彩椒同等價格）
8,櫛瓜1斤100元 安全無毒櫛瓜 未檢出 黃色綠色隨機出（櫛瓜如果沒有會換水果彩椒同等價格）
9,櫛瓜1斤100元 安全無毒櫛瓜 未檢出 黃色綠色隨機出（櫛瓜如果沒有會換水果彩椒同等價格）
10,櫛瓜1斤100元 安全無毒櫛瓜 未檢出 黃色綠色隨機出（櫛瓜如果沒有會換水果彩椒同等價格）
11,櫛瓜1斤100元 安全無毒櫛瓜 未檢出 黃色綠色隨機出（櫛瓜如果沒有會換水果彩椒同等價格）
12,櫛瓜1斤100元 安全無毒櫛瓜 未檢出 黃色綠色隨機出（櫛瓜如果沒有會換水果彩椒同等價格）
13,櫛瓜1斤100元 安全無毒櫛瓜 未檢出 黃色綠色隨機出（櫛瓜如果沒有會換水果彩椒同等價格）
14,櫛瓜1斤100元 安全無毒櫛瓜 未檢出 黃色綠色隨機出（櫛瓜如果沒有會換水果彩椒同等價格）
15,櫛瓜1斤100元 安全無毒櫛瓜 未檢出 黃色綠色隨機出（櫛瓜如果沒有會換水果彩椒同等價格）
16,櫛瓜1斤100元 安全無毒櫛瓜 未檢出 黃色綠色隨機出（櫛瓜如果沒有會換水果彩椒同等價格）
17,櫛瓜1斤100元 安全無毒櫛瓜 未檢出 黃色綠色隨機出（櫛瓜如果沒有會換水果彩椒同等價格）
18,櫛瓜1斤100元 安全無毒櫛瓜 未檢出 黃色綠色隨機出（櫛瓜如果沒有會換水果彩椒同等價格）
19,櫛瓜1斤100元 安全無毒櫛瓜 未檢出 黃色綠色隨機出（櫛瓜如果沒有會換水果彩椒同等價格）
20,櫛瓜1斤100元 安全無毒櫛瓜 未檢出 黃色綠色隨機出（櫛瓜如果沒有會換水果彩椒同等價格）
21,櫛瓜1斤100元 安全無毒櫛瓜 未檢出 黃色綠色隨機出（櫛瓜如果沒有會換水果彩椒同等價格）
22,櫛瓜1斤100元 安全無毒櫛瓜 未檢出 黃色綠色隨機出（櫛瓜如果沒有會換水果彩椒同等價格）
23,櫛瓜1斤100元 安全無毒櫛瓜 未檢出 黃色綠色隨機出（櫛瓜如果沒有會換水果彩椒同等價格）
24,櫛瓜1斤100元 安全無毒櫛瓜 未檢出 黃色綠色隨機出（櫛瓜如果沒有會換水果彩椒同等價格）
25,櫛瓜1斤100元 安全無毒櫛瓜 未檢出 黃色綠色隨機出（櫛瓜如果沒有會換水果彩椒同等價格）
26,櫛瓜1斤100元 安全無毒櫛瓜 未檢出 黃色綠色隨機出（櫛瓜如果沒有會換水果彩椒同等價格）
27,櫛瓜1斤100元 安全無毒櫛瓜 未檢出 黃色綠色隨機出（櫛瓜如果沒有會換水果彩椒同等價格）
28,櫛瓜1斤100元 安全無毒櫛瓜 未檢出 黃色綠色隨機出（櫛瓜如果沒有會換水果彩椒同等價格）
29,櫛瓜1斤100元 安全無毒櫛瓜 未檢出 黃色綠色隨機出（櫛瓜如果沒有會換水果彩椒同等價格）
30,櫛瓜1斤100元 安全無毒櫛瓜 未檢出 黃色綠色隨機出（櫛瓜如果沒有會換水果彩椒同等價格）
31,櫛瓜1斤100元 安全無毒櫛瓜 未檢出 黃色綠色隨機出（櫛瓜如果沒有會換水果彩椒同等價格）
32,櫛瓜1斤100元 安全無毒櫛瓜 未檢出 黃色綠色隨機出（櫛瓜如果沒有會換水果彩椒同等價格）
33,櫛瓜1斤100元 安全無毒櫛瓜 未檢出 黃色綠色隨機出（櫛瓜如果沒有會換水果彩椒同等價格）
34,櫛瓜1斤100元 安全無毒櫛瓜 未檢出 黃色綠色隨機出（櫛瓜如果沒有會換水果彩椒同等價格）
35,櫛瓜1斤100元 安全無毒櫛瓜 未檢出 黃色綠色隨機出（櫛瓜如果沒有會換水果彩椒同等價格）
36,櫛瓜1斤100元 安全無毒櫛瓜 未檢出 黃色綠色隨機出（櫛瓜如果沒有會換水果彩椒同等價格）
37,櫛瓜1斤100元 安全無毒櫛瓜 未檢出 黃色綠色隨機出（櫛瓜如果沒有會換水果彩椒同等價格）
38,櫛瓜1斤100元 安全無毒櫛瓜 未檢出 黃色綠色隨機出（櫛瓜如果沒有會換水果彩椒同等價格）
39,櫛瓜1斤100元 安全無毒櫛瓜 未檢出 黃色綠色隨機出（櫛瓜如果沒有會換水果彩椒同等價格）
40,櫛瓜1斤100元 安全無毒櫛瓜 未檢出 黃色綠色隨機出（櫛瓜如果沒有會換水果彩椒同等價格）
41,櫛瓜1斤100元 安全無毒櫛瓜 未檢出 黃色綠色隨機出（櫛瓜如果沒有會換水果彩椒同等價格）
42,櫛瓜1斤100元 安全無毒櫛瓜 未檢出 黃色綠色隨機出（櫛瓜如果沒有會換水果彩椒同等價格）
43,櫛瓜1斤100元 安全無毒櫛瓜 未檢出 黃色綠色隨機出（櫛瓜如果沒有會換水果彩椒同等價格）
44,櫛瓜1斤100元 安全無毒櫛瓜 未檢出 黃色綠色隨機出（櫛瓜如果沒有會換水果彩椒同等價格）
45,櫛瓜1斤100元 安全無毒櫛瓜 未檢出 黃色綠色隨機出（櫛瓜如果沒有會換水果彩椒同等價格）
46,櫛瓜1斤100元 安全無毒櫛瓜 未檢出 黃色綠色隨機出（櫛瓜如果沒有會換水果彩椒同等價格）
47,櫛瓜1斤100元 安全無毒櫛瓜 未檢出 黃色綠色隨機出（櫛瓜如果沒有會換水果彩椒同等價格）
48,櫛瓜1斤100元 安全無毒櫛瓜 未檢出 黃色綠色隨機出（櫛瓜如果沒有會換水果彩椒同等價格）
49,櫛瓜1斤100元 安全無毒櫛瓜 未檢出 黃色綠色隨機出（櫛瓜如果沒有會換水果彩椒同等價格）
50,櫛瓜1斤100元 安全無毒櫛瓜 未檢出 黃色綠色隨機出（櫛瓜如果沒有會換水果彩椒同等價格）
51,彩虹甜糯玉米1斤35元（甜度16-17度）產銷履歷 慧軒農場還有白龍王北海道水果玉米/黑寶水果玉米/黑寶糯米
