label,userid
1,10109356
2,75074407
3,31992979
4,18642272
5,184621060
6,2882720
7,13365306
8,69369845
9,58697747
10,22764865
11,3122296
12,1746349
13,137821731
14,145321129
15,94956951
16,3041157
17,12997592
18,1956700
19,89173751
20,416004645
21,8227310
22,4185800
23,3332622
24,3099648
25,31992979
26,89522606
27,13852103
28,3129309
29,8938599
30,3551534
31,83115419
32,5331174
33,167300326
34,10557037
35,144714778
36,130761009
37,4066389
38,67052787
39,28763865
40,7244702
41,11285018
42,139404385
43,139404385
44,12195627
45,144714778
46,310832333
47,8938599
48,142351690
49,21410063
50,1628257
51,15426780
52,31992979
53,75074407
54,46195069
55,49094194
56,78719157
57,160827
58,23902810
59,454230062
60,46378519
61,171404573
62,145321129
63,3041157
64,89173751
65,15840853
66,31992979
67,2768929
68,89522606
69,144714778
70,21646964
71,12195627
72,7774232
73,4056119
74,2768929
75,16117634
76,162417107
77,4582744
78,28763865
79,2854978
80,139404385
81,139404385
82,12564526
83,21646964
84,23629134
85,27350901
86,41355958
87,7244702
88,7981994
89,554753
90,74920273
91,4416181
92,111227
93,92585337
94,310832333
95,3020384
96,82125290
97,5354312
98,83115419
99,134900596
100,47630404
101,75713617
102,16141329
103,3122935
104,156312217
105,3744096
106,73632710
107,1875152
108,13986158
109,9431593
110,9431593
111,2752520
112,31115684
113,2507085
114,10326915
115,1547760
116,16008981
117,4678313
118,16008981
119,3641600
120,23314246
121,18870029
122,1507208
123,7800960
124,4587014
125,11013356
126,14001588
127,88303118
128,13594746
129,6983645
130,159588857
131,9413456
132,39398395
133,86126595
134,10732810
135,100331696
136,7563540
137,97150610
138,10732810
139,398049854
140,73729123
141,6533773
142,208275996
143,2410165
144,1633169
145,3812214
146,10732810
147,28345553
148,28345553
149,28345553
150,9333876
151,5221275
152,5221275
153,15426780
154,15426780
155,3583314
156,13365306
157,160827
158,23902810
159,5221275
160,5221275
161,22764865
162,5221275
163,22764865
164,5221275
165,3556571
166,171404573
167,85977166
168,85977166
169,94956951
170,3041157
171,12997592
172,9982627
173,25704176
174,5221275
175,31992979
176,13852103
177,167300326
178,16117634
179,10557037
180,257029504
181,67052787
182,10990856
183,42762335
184,42762335
185,18870029
186,18870029
187,12195627
188,7244702
189,60305951
190,48142983
191,29419033
192,60305951
193,20851583
194,3920333
195,42674769
196,119677123
197,89242790
198,416004645
199,161849778
200,8201187
201,6358694
202,109739948
203,273975002
204,179535201
205,13491349
206,306637767
207,306637767
208,63048871
209,273975002
210,7356974
211,5422386
212,2718175
213,33164785
214,445435296
215,60712840
216,2907634
217,6034093
218,6034093
219,63806703
220,82192286
221,114267075
222,7681376
223,26303979
224,40387842
225,25845809
226,122079496
227,3920333
228,1387572
229,39579619
230,25953988
231,6131731
232,67916309
233,122079496
234,9186563
235,6158202
236,12685177
237,16309085
238,6131731
239,6131731
240,25845809
241,115895240
242,7230717
243,10477436
244,11435408
245,14494535
246,40677105
247,228469150
248,49712688
249,205862811
250,299159412
251,8437682
252,15426780
253,2718175
254,2882720
255,454230062
256,55636650
257,729008502
258,3099648
259,113386
260,2768929
261,13567913
262,719421160
263,113386
264,257029504
265,4066389
266,416004645
267,42674769
268,39305474
269,18691265
270,8201187
271,59706756
272,6202579
273,300496145
274,8060590
275,604316971
276,14509140
277,21846466
278,28550059
279,7499340
280,17588854
281,12580236
282,27537563
283,81574728
284,30501743
285,4439004
286,2425329
287,128600366
288,17588854
289,16348844
290,7282207
291,112163655
292,169186684
293,64249144
294,21160525
295,4368060
296,40184020
297,1786858
298,5148870
299,7704760
300,15845354
301,13365306
302,2768929
303,46378519
304,3041157
305,25704176
306,25704176
307,7774232
308,23902810
309,19266903
310,111385482
311,211953187
312,4442317
313,12195627
314,14408717
315,7981994
316,4297312
317,139404385
318,6727575
319,82125290
320,25733041
321,2768929
322,111385482
323,1019067
324,3747972
325,152181740
326,3389654
327,290221422
328,28550059
329,15845354
330,4439004
331,6654546
332,8351412
333,138381798
334,81574728
335,94671
336,294888309
337,520085206
338,55380544
339,179215568
340,224066683
341,101116946
342,87708342
343,90652885
344,17014989
345,14225578
346,294888309
347,14225578
348,8691880
349,33174204
350,224066683
351,2882720
352,13365306
353,69369845
354,8523123
355,137367272
356,23902810
357,9801419
358,257029504
359,10521013
360,9982627
361,31992979
362,12195627
363,41355958
364,3920333
365,214033587
366,4066389
367,139404385
368,139404385
369,554753
370,7244702
371,176222682
372,274249057
373,82125290
374,11496069
375,8555208
376,110026788
377,5869934
378,5869934
379,5869934
380,5579126
381,90261261
382,20619161
383,95701923
384,4173257
385,14509140
386,10718406
387,118878110
388,15845354
389,11162668
390,20938377
391,112163655
392,231760678
393,412506162
394,40184020
395,5869934
396,81574728
397,51772812
398,5869934
399,12064265
400,7704760
401,22764865
402,10109356
403,31992979
404,23902810
405,58697747
406,1746349
407,3556571
408,85977166
409,85977166
410,3862612
411,15426780
412,94956951
413,3041157
414,1956700
415,15840853
416,47630404
417,152415503
418,31992979
419,13852103
420,10557037
421,2717159
422,12195627
423,3129309
424,41355958
425,176222682
426,139404385
427,82125290
428,10990856
429,416004645
430,161849778
431,5579126
432,4803866
433,22609183
434,152181740
435,13594746
436,3920333
437,92492566
438,24701644
439,520085206
440,18691265
441,16348844
442,104031108
443,93720761
444,37525955
445,13422166
446,40184020
447,94671
448,90648768
449,520085206
450,211218016
451,49094194
452,3583314
453,137367272
454,8523123
455,9801419
456,38094953
457,3862612
458,3862612
459,13491349
460,171404573
461,4087231
462,41355958
463,25704176
464,25704176
465,25704176
466,257029504
467,7408725
468,60305951
469,60305951
470,1628257
471,3920333
472,87298322
473,240551316
474,8303799
475,41058240
476,41058240
477,176222682
478,6320335
479,1393665
480,14509140
481,20619161
482,92407041
483,9683922
484,265590
485,19150905
486,2587619
487,284585686
488,596147706
489,26359499
490,7408725
491,224066683
492,224066683
493,224066683
494,224066683
495,12039953
496,10323272
497,30418579
498,20291244
499,2604662
500,13670599
501,8523123
502,18642272
503,137367272
504,9801419
505,3862612
506,13491349
507,4087231
508,95679181
509,27814108
510,25704176
511,25704176
512,294825515
513,257029504
514,3307254
515,392941934
516,5152913
517,17120102
518,18221347
519,14612837
520,1628257
521,19993205
522,42674769
523,70774218
524,6646718
525,134900596
526,83115419
527,8303799
528,13422166
529,350717242
530,350717242
531,20619161
532,95701923
533,10085324
534,5889799
535,3397210
536,92407041
537,2404746
538,115031767
539,3920333
540,171410998
541,81574728
542,36789540
543,5861313
544,6114910
545,150021171
546,5301734
547,2124845
548,40591072
549,22121537
550,12983942
551,4494220
552,199565237
553,199565237
554,37133887
555,3556571
556,707611647
557,192502087
558,50732791
559,3130239
560,199565237
561,9839352
562,17121029
563,20489853
564,671747791
565,15277144
566,35636136
567,7333694
568,391598684
569,14803847
570,391598684
571,277600064
572,283300557
573,146184769
574,27669919
575,49944379
576,24545441
577,11162668
578,24545441
579,4463983
580,62006076
581,4657125
582,11229904
583,14991317
584,2924923
585,49944379
586,11162668
587,37756713
588,20579114
589,70508965
590,70508965
591,68864356
592,317670
593,37756713
594,37756713
595,37756713
596,37756713
597,51740606
598,49944379
599,20579114
600,88201576
601,15426780
602,184621060
603,94956951
604,3862612
605,10909190
606,84079004
607,167300326
608,7774232
609,8501671
610,33620924
611,416004645
612,18870029
613,12564526
614,3898106
615,5548144
616,9683922
617,14612544
618,21846466
619,101895032
620,13594746
621,38722112
622,14305541
623,15958028
624,15958028
625,2854978
626,18870029
627,18870029
628,18870029
629,130761009
630,12564526
631,130761009
632,38945085
633,38945085
634,121914204
635,37427573
636,4960918
637,10323272
638,40184020
639,39837832
640,3345497
641,3154209
642,188018663
643,121123231
644,31741939
645,5563857
646,15563760
647,21410063
648,28134950
649,139125458
650,3952553
651,221881655
652,75074407
653,184621060
654,75353437
655,15426780
656,3862612
657,3862612
658,2718175
659,15840853
660,3332622
661,152415503
662,2626313
663,80125503
664,25704176
665,25704176
666,41355958
667,7774232
668,23902810
669,9453180
670,16889734
671,42674769
672,53001921
673,5987785
674,10378052
675,226358800
676,3898106
677,171404573
678,12564526
679,14509140
680,30702286
681,81574728
682,5861313
683,37427573
684,37427573
685,24701644
686,53001921
687,6098210
688,53001921
689,76032480
690,4439004
691,21626672
692,18691265
693,6446565
694,707418917
695,48956487
696,53001921
697,4368060
698,15760166
699,5301734
700,40898330
701,75074407
702,221881655
703,22764865
704,3583314
705,2882720
706,13365306
707,8523123
708,137821731
709,171404573
710,15426780
711,270422750
712,167300326
713,4924411
714,12195627
715,1628257
716,95701923
717,95701923
718,2587490
719,10085324
720,5331174
721,5861313
722,24701644
723,4439004
724,2425329
725,37427573
726,224066683
727,37427573
728,37427573
729,37427573
730,37427573
731,37427573
732,171404573
733,294306898
734,2425329
735,8318596
736,8318596
737,15958028
738,48825331
739,33266853
740,10323272
741,8568532
742,26190591
743,39837832
744,45764128
745,601052
746,2328727
747,217550405
748,125858949
749,8227310
750,28578127
751,2882720
752,160827
753,46378519
754,6296128
755,85977166
756,454230062
757,6711946
758,7981994
759,13182603
760,42674769
761,119575831
762,10990856
763,12564526
764,4066389
765,14509140
766,22609183
767,2425329
768,12580236
769,24701644
770,34010224
771,11162668
772,26616323
773,64249144
774,24701644
775,81574728
776,90648768
777,310832333
778,10943996
779,10943996
780,310832333
781,310832333
782,310832333
783,2766935
784,14591762
785,14591762
786,14591762
787,14591762
788,3490295
789,123706250
790,3120086
791,29961540
792,163921590
793,39606825
794,13086032
795,8060590
796,15563760
797,14242125
798,16534303
799,136729687
800,149207689
801,13365306
802,8523123
803,23902810
804,9801419
805,3041157
806,85977166
807,31992979
808,24947981
809,82954951
810,28134950
811,33620924
812,5987785
813,20993137
814,8761776
815,14509140
816,3397210
817,112163655
818,21160525
819,762897751
820,40184020
821,24947981
822,40184020
823,3657292
824,8105311
825,37427573
826,3194062
827,43310321
828,4420126
829,93924453
830,31397928
831,13894519
832,8568532
833,10323272
834,26268127
835,90261261
836,31379403
837,19152997
838,66682432
839,8227310
840,13784953
841,68270317
842,310832333
843,14591762
844,70774218
845,16260132
846,5739060
847,30581187
848,31557817
849,64320697
850,5626590
851,30816727
852,30816727
853,2185057
854,30816727
855,144723139
856,53206934
857,23385614
858,317875424
859,144723139
860,28248708
861,275391168
862,64887056
863,11752477
864,13986158
865,16229570
866,227116306
867,95038134
868,3213135
869,7160009
870,353581308
871,309151742
872,23314246
873,99749409
874,168499898
875,35228751
876,289724949
877,7471849
878,5227524
879,43278022
880,3944526
881,211570181
882,136674787
883,11261325
884,347949026
885,98624216
886,353581308
887,3944526
888,26319369
889,28345553
890,650999583
891,9810571
892,23314246
893,23314246
894,9810571
895,1055018
896,45439605
897,85355833
898,26951923
899,112786642
900,18984874
901,221881655
902,75074407
903,15426780
904,15426780
905,3583314
906,5221275
907,23902810
908,58697747
909,3862612
910,3862612
911,3458571
912,4087231
913,15840853
914,3332622
915,152415503
916,2626313
917,2768929
918,80125503
919,25704176
920,25704176
921,14612837
922,41355958
923,2061217
924,3920333
925,20494828
926,3585100
927,41621208
928,25733041
929,50834682
930,50834682
931,42762335
932,7774232
933,148955986
934,705958116
935,3641600
936,176222682
937,3898106
938,95701923
939,12564526
940,14509140
941,9595442
942,8761776
943,31992979
944,38722112
945,5861313
946,37427573
947,37427573
948,37427573
949,37427573
950,27537563
951,7720223
952,84812039
