商品ID,賣家ID,商品名稱,品牌,存貨數量,價格,商品文案,折數,可否搭配購買,可否大量批貨購買,選項,歷史銷售量,可否分期付款,是否官方賣家帳號,是否可預購,喜愛數量,商家地點,SKU,評價數量,五星,四星,三星,二星,一星,評分
2115070879,1614066,•小童工百果園•現採檸檬香茅苗 一株$15,,632,15,一株$15,,FALSE,FALSE,"[{'name': '', 'options': [''], 'images': None, 'properties': None, 'type': 0, 'summed_stocks': None}]",1317,TRUE,FALSE,FALSE,160,屏東縣屏東市,[''],129,123,4,2,0,0,4.937984496
2115064788,1614066,•小童工百果園•當日現採香蘭苗 斑蘭苗,,63,45,一株$45,,FALSE,TRUE,"[{'name': '', 'options': [''], 'images': None, 'properties': None, 'type': 0, 'summed_stocks': None}]",932,TRUE,FALSE,FALSE,251,屏東縣屏東市,[''],163,157,4,2,0,0,4.950920245
6969280928,1614066,•小童工百果園•小小裸根香蘭苗（購買10株以上才出貨）,,407,20,約10-15cm^n購買10株以上才出貨,,FALSE,FALSE,"[{'name': '', 'options': [''], 'images': None, 'properties': None, 'type': 0, 'summed_stocks': None}]",577,TRUE,FALSE,FALSE,55,屏東縣屏東市,[''],25,24,0,1,0,0,4.92
2150415266,1614066,•小童工百果園•現採泰國南薑塊根（種植用）,,43,150,五塊$150^n#泰國南薑,,FALSE,FALSE,"[{'name': '', 'options': [''], 'images': None, 'properties': None, 'type': 0, 'summed_stocks': None}]",56,TRUE,FALSE,FALSE,46,屏東縣屏東市,[''],32,32,0,0,0,0,5
1781052262,1614066,•小童工百果園•新鮮現採香蘭葉，斑蘭葉（不幫忙清洗）,,82,120,一台斤$120^n天然無毒^n1~2斤有捆綁^n3斤以上沒捆綁^n^n📍超取限重7台斤^n📍需要宅配寄送請聊聊告知^n✔️宅配20台斤免運費^n^n可用於香料/香蘭茶/海南雞飯/南洋料理^n#現採#香蘭葉#斑蘭葉#南洋料理#香料#海南雞飯#退火^n,,FALSE,FALSE,"[{'name': '商品選項', 'options': ['一台斤'], 'images': None, 'properties': None, 'type': 0, 'summed_stocks': None}]",2347,TRUE,FALSE,TRUE,419,屏東縣屏東市,['一台斤'],541,531,9,1,0,0,4.979477612
5315322990,1614066,紅色火炬薑塊根 瓷玫瑰塊根,,81,200,1支200元^n裸根寄送,,FALSE,FALSE,"[{'name': '', 'options': [''], 'images': None, 'properties': None, 'type': 0, 'summed_stocks': None}]",18,TRUE,FALSE,FALSE,26,屏東縣屏東市,[''],10,10,0,0,0,0,5
7831136385,1614066,•小童工百果園•新鮮現採泰國檸檬葉 馬蜂橙葉100g,,726,100,出貨當天現採^n冷藏保存約10天^n冷凍保存可半年至一年,,FALSE,FALSE,"[{'name': '', 'options': [''], 'images': None, 'properties': None, 'type': 0, 'summed_stocks': None}]",405,TRUE,FALSE,TRUE,109,屏東縣屏東市,[''],97,92,4,1,0,0,4.93814433
1781069988,1614066,•小童工百果園•現採檸檬香茅 新鮮現採,,146,110,A級一台斤$120^nB級一台斤$100^n需宅配聊聊告知^n^np. s因為我們不用藥.所以會有季節性植物粉和粉介殼的問題.乃為正常現象.避免爭議在此告知^n11~5月是生長育苗期.肉的部分比較短.^n存方式:冰箱冷藏15~20天.冷凍可半年^n^n#酸辣湯#南洋料理#泰國料理#南洋風味 #檸檬香茅#新鮮現採^n^n#南洋料理#香茅火鍋#香茅茶#泰式料理#現採#無毒#香料^n,,FALSE,FALSE,"[{'name': '選項', 'options': ['一台斤'], 'images': ['bd4c8e7e8ce5f67ea57954411b7c44a9'], 'properties': None, 'type': 0, 'summed_stocks': None}, {'name': '等級', 'options': ['A級', 'B級'], 'images': None, 'properties': None, 'type': 0, 'summed_stocks': None}]",522,TRUE,FALSE,TRUE,202,屏東縣屏東市,"['一台斤,A級', '一台斤,B級']",118,111,6,1,0,0,4.93220339
3832920315,1614066,•小童工百果園•新鮮現採泰國檸檬 馬蜂橙3顆$100,,992,100,當天現採出貨^n3顆$100,,FALSE,FALSE,"[{'name': '', 'options': [''], 'images': None, 'properties': None, 'type': 0, 'summed_stocks': None}]",158,TRUE,FALSE,TRUE,59,屏東縣屏東市,[''],39,37,0,1,0,1,4.846153846
7941090054,1614066,香蘭葉斑蘭葉20台斤免運費（不幫忙清洗）,,80,2400,20台斤免運費^n當天現採^n無用藥種植,,FALSE,FALSE,"[{'name': '', 'options': [''], 'images': None, 'properties': None, 'type': 0, 'summed_stocks': None}]",19,TRUE,FALSE,FALSE,10,屏東縣屏東市,[''],9,9,0,0,0,0,5
4255061452,147945250,【大江生鮮】冷凍玉米筍 500g/包！小玉米/小玉米筍/冷凍蔬菜/冷凍食材/冷凍蔬食,,99864,109,●口感鮮嫩、高纖低卡^n^n●每一穗都鮮甜飽滿^n^n●多種料理用途^n^n^n^n商品名稱：冷凍玉米筍^n^n商品重量：500g±10%/包^n^n商品成分：玉米筍^n^n商品產地：越南^n^n保存期限：一年^n^n保存方式：本商品採冷凍配送，收到商品後請立即冷凍保存(零下18度C)。^n^n^n^n其他注意事項： ^n^n※ 本商品採冷凍配送，收到商品後請立即冷凍保存。未食用完的食材也請勿重複冷凍再解凍。 ^n^n※ 為保持產品最佳風味，開封後請盡速食用完畢。 ^n^n※ 產品顏色可能會因網頁呈現與拍攝關係產生色差，圖片僅供參考，商品依實際供貨樣式為準。^n^n⚡️⚡️⚡️⚡️⚡️⚡️⚡️⚡️⚡️⚡️⚡️⚡️⚡️⚡️⚡️^n^n【大江生鮮】出貨方式及運費說明^n^n🚗冷凍宅配：運費$190，$1399免運(寄出1~2天可到貨)^n^n🚗超商取貨：(可貨到付款)運費$120，滿$799免運(寄出後約2~4天到指定超商)^n^n-^n^n⛴離島地區不支援超取服務，僅能黑貓宅配★★★^n^n▶️▷▶️跨海運費需由買家自行負擔！◀️◁◀️^n^n▶️▷▶️(每箱$250/元、無免運優惠)◀️◁◀️^n^n^n^n⚡️⚡️⚡️⚡️⚡️⚡️⚡️⚡️⚡️⚡️⚡️⚡️⚡️⚡️⚡️^n^n^n^n本公司依消保法規定：生鮮食品不適用於消費者保護法第19條，並不享有7天鑑賞期。^n^n^n^n❌❌❌❌❌❌❌❌❌❌❌❌❌❌❌^n^n^n^n依據「通訊交易解除合理外情事適用準則」第2第一項：「易於腐敗、保存期限較短或解約時即將逾期」之商品，屬於消費者保護法第19第一項但書所稱合理例外情事。自105年11日起，生鮮食品不適用於消費者保護法第19條，並不享有7天鑑賞期，因肉品等冷凍食品或生鮮商品屬於消耗性商品，商品屬性特殊或有保存期限等問題，除商品本身瑕疵或運送過程而造成的損毀，才可接受您的退貨申請。非商品瑕疵恕無法為您辦理退換貨，下單前請務必考慮、詢問清楚！一經拆封、食用、失温及保存不良等情形而導致商品變質，則無法處理您的退換貨申請，敬請見諒！^n^n^n^n【本公司聘任韋侖法律事務所 施建勳 律師為常年法律顧問，以維護本公司合法權益並避免消費紛爭】。^n^n^n^n⚡️⚡️⚡️⚡️⚡️⚡️⚡️⚡️⚡️⚡️⚡️⚡️⚡️⚡️⚡️,3.8,FALSE,FALSE,"[{'name': '商品規格', 'options': ['500g/包'], 'images': None, 'properties': None, 'type': 0, 'summed_stocks': None}]",466,TRUE,FALSE,FALSE,56,雲林縣斗六市,['500g/包'],218,210,5,2,1,0,4.944954128
